设备编号,货道名称,商品名称,商品编号,分类,参考价格,实际价格,可售库存,合计库存
`FS101284,货道1,统一冰绿茶[青梅绿茶](CAN310ml),INTG116100075,饮料,2.5,2.5,20,20
`FS101284,货道2,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,2.5,15,15
`FS101284,货道3,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,2.5,15,15
`FS101284,货道4,统一果汁[金桔柠檬](CAN310ml),1.56473E+17,开门柜,3,2.5,8,8
`FS101284,货道5,统一好料道[仙草凉茶](CAN310ml),INTR791011678,饮料,4,4,10,10
`FS101284,货道6,统一好料道[仙草凉茶](CAN310ml),INTR791011678,饮料,4,4,9,9
`FS101284,货道7,可口可乐(PET500ml),INTR310011684,饮料,3.5,3.5,15,15
`FS101284,货道8,可口可乐(PET500ml),INTR310011684,饮料,3.5,3.5,16,16
`FS101284,货道9,饮养四季[金桔柠檬](PET500ml),INTR372011680,饮料,3.5,3,7,7
`FS101284,货道10,饮养四季[金桔柠檬](PET500ml),INTR372011680,饮料,3.5,3,3,3
`FS101284,货道11,统一轻啵苏打水[柠檬味](PET500ml),INTR773011687,饮料,3.5,3.5,12,12
`FS101284,货道13,可口可乐(PET500ml),INTR310011684,饮料,3.5,3.5,15,15
`FS101284,货道14,,,,,,0,0
`FS101284,货道15,雪碧(PET500ml),INTR274011679,饮料,3.5,3.5,6,6
`FS101284,货道16,,,,,,0,0
`FS101284,货道17,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,13,13
`FS101284,货道19,海之言[柠檬](PET500ml),INTR039011682,饮料,4,4,11,11
`FS101284,货道21,海之言[柠檬](PET500ml),INTR039011682,饮料,4,4,9,9
`FS101284,货道23,可口可乐纯悦水(PET500ml),INTR123011690,饮料,2,2,20,20
`FS101284,货道24,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,5,9,9
`FS101284,货道25,统一蜜桃多(PET450ml),INTR769012352,饮料,3.5,3.5,15,15
`FS101284,货道26,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,10,10
`FS101284,货道27,小茗同学[溜溜哒茶](PET480ml),INTR973011692,饮料,5,5,13,13
`FS101284,货道28,雅哈[冰咖啡](PET450ml),INTR470011686,饮料,5.5,5.5,9,9
`FS101284,货道29,ALKAQUA[饮用天然矿泉水](PET570ml),INTR997009154,矿泉水,4,4,14,14
`FS101284,货道30,ALKAQUA[饮用天然矿泉水](PET570ml),INTR997009154,矿泉水,4,4,14,14
`FS101284,货道31,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,2,2
`FS101284,货道32,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,4,4
`FS101284,货道33,小茗同学[青柠红茶](PET480ml),INTR297011693,饮料,5,5,5,5
`FS101284,货道34,雅哈[冰咖啡](PET450ml),INTR470011686,饮料,5.5,5.5,10,10
`FS101307,货道1,可口可乐[自购版](CAN330ml),INTR121011635,饮料,3,2.5,9879,9879
`FS101307,货道2,可口可乐[自购版](CAN330ml),INTR121011635,饮料,3,2.5,9865,9865
